"Currency","Währung"
"Custom currency symbols were applied successfully.","Angepasste Währungssymbole wurden erfolgreich angewendet."
"Manage Currency","Währungen verwalten"
"Manage Currency Rates","Währungskurse verwalten"
"Rates","Kurse"
"Save Currency Symbols","Währungssymbol speichern"
"Symbol","Symbol"
"Symbols","Symbol"
"System","System"
"Use Standard","Standard nutzen"
