"Blugento Forms","Formulare Blugento"
"Forms Settings","Setări formulare"
"Sender","Expeditor"
"Name","Nume"
"Recipient","Destinatar"
"Enabled","Activat"
"Message not sent.","Mesajul nu a fost trimis."
"Message sent.","Mesajul a fost trimis."
