"scss/title/nav--primary_border-right_color","Right Border Color"
"scss/title/nav--primary_border-top","Top Border"
"scss/title/nav--primary_border-top_color","Top Border Color"
"scss/title/page_background-color","Background Color"
"scss/title/page_color","Text Color"
"scss/title/page_size","Page Size"
"scss/title/page-container_background-color","Container Background Color"
"scss/title/page-footer__link--hover_color","Hover Link Color"
"scss/title/page-footer__marketing-box--newsletter_color","Text Color Newsletter"
"scss/title/page-footer__marketing-box--shipping_color","Text Color Left"
"scss/title/page-footer__marketing-box--support_color","Text Color Middle"
"scss/title/page-footer_background-color","Background Color"
"scss/title/page-footer_color","Text Color"
"scss/title/page-footer_link-color","Link Color"
"scss/title/page-header_background-color","Background Color"
"scss/title/page-header_color","Text Color"
"scss/title/page-header_link_color","Text Color"
"scss/title/page-main_background-color","Background Color"
"scss/title/page-main_color","Text Color"
"scss/title/page-subtitle_color","Subtitle Text Color"
"scss/title/page-subtitle_font","Subtitle Font"
"scss/title/page-title_color","Title Text Color"
"scss/title/page-title_font","Title Font"
"scss/title/preloader__cicle-1_stroke","Color 1"
"scss/title/preloader__cicle-2_stroke","Color 2"
"scss/title/product_price_font","Font"
"scss/title/product_price_list_font","Font"
"scss/title/product_title_font","Font"
"scss/title/product-category__title_color","Text Color"
"scss/title/product-category__title_font","Font"
"scss/title/product-compare__item__product-image_background-color","Image Background Color"
"scss/title/product-view__add-to-cart__button_background-color","Background Color"
"scss/title/product-view__add-to-cart__button_color","Text Color"
"scss/title/product-view__add-to-cart__button_font","Font"
"scss/title/product-view__add-to-cart__input_display","Display"
"scss/title/product-view__availability__in-stock_color","In Stock Color"
"scss/title/product-view__availability__out-of-stock_color","Out Of Stock Color"
"scss/title/product-view__availability_display","Display"
"scss/title/product-view__availability_font","Font"
"scss/title/product-view__price_color","Color"
"scss/title/product-view__product-collateral__list__item_color","Text Color"
"scss/title/product-view__product-collateral__list__item-active_background-color","Active Background Color"
"scss/title/product-view__product-collateral__list__item-active_color","Active Text Color"
"scss/title/product-view__product-image_background-color","Background Color"
"scss/title/product-view__product-name_color","Text Color"
"scss/title/product-view__product-options__required_color","Text Color"
"scss/title/product-view__product-options__required_font","Font"
"scss/title/product-view__product-shop__breadcrumbs_display","Display"
"scss/title/product-view__sku_display","Sku Display"
"scss/title/products-grid__item__characteristics_color","Color"
"scss/title/products-grid__item__price_color","Color"
"scss/title/products-grid__item__product-name_color","Text Color"
"scss/title/products-grid__item__product-name_font","Font"
"scss/title/products-grid__item__tax-details_display","Tax Display"
"scss/title/products-grid__item-inner_background-color","Background Color"
"scss/title/products-grid__product-box_text-align","Information Position - Grid Mode"
"scss/title/products-list__item__actions_margin","Margin"
"scss/title/products-list__item__actions_margin-top","Top"
"scss/title/products-list__item__price_margin","Margin"
"scss/title/products-list__item__price_margin-bottom","Bottom"
"scss/title/products-list__item__product-image_background-color","Background Color"
"scss/title/products-list__item__product-name_margin","Margin"
"scss/title/products-list__item__product-name_margin-bottom","Bottom"
"scss/title/products-list__product-box_text-align","Information Position - List Mode"
"scss/description/account__block-content__list__current_background-color","Background color of Customer Navigation active link"
"scss/description/account__block-content__list__current_color","Text color of Customer Navigation active link"
"scss/description/account__block-content__list_color","Text color of Customer Navigation links"
"scss/description/add-to-links_color","Add to Wishlist / Compare text color"
"scss/description/add-to-links_font",""
"scss/description/badge_font",""
"scss/description/badge--new_background-color","Background color to New Badge"
"scss/description/badge--new_color","Text color to New Badge"
"scss/description/badge--new_display","Display mode to New Badge"
"scss/description/badge--sale_background-color","Background color to Sale Badge"
"scss/description/badge--sale_color","Text color to Sale Badge"
"scss/description/badge--sale_display","Display mode to Sale Badge"
"scss/description/block__block-title_background-color","Background color of titles within aside blocks (e.g Recently Viewed Products, Tags, PayPal, Wishlist)"
"scss/description/block__block-title_color","Text color of titles within aside blocks (e.g Recently Viewed Products, Tags, PayPal, Wishlist)"
"scss/description/block-layered-nav__title_color",""
"scss/description/block-layered-nav__title_font",""
"scss/description/breadcrumbs__leaf_color","Text color of active page in breadcrumbs on each page"
"scss/description/breadcrumbs_color","Text color of breadcrumbs on each page"
"scss/description/breadcrumbs_display","Display mode of breadcrumbs on each page"
"scss/description/breadcrumbs_font",""
"scss/description/button_background-color","Button background color except Action and coupon buttons"
"scss/description/button_color","Button text color"
"scss/description/button-action_background-color","Action button background color"
"scss/description/button-action_color","Action button text color"
"scss/description/cart__btn-checkout_background-color","Background color of ""Proceed To Checkout"" button"
"scss/description/cart__btn-checkout_color","Text color of ""Proceed To Checkout"" button"
"scss/description/cart__cart-totals__table_background-color","Background color of Total section"
"scss/description/cart__cart-totals__table_color","Text color of Total section"
"scss/description/cart__cart-totals__total_color","Text color of Grand Total"
"scss/description/cart__discount__button_background-color","Background color of ""Apply Code"" button"
"scss/description/cart__discount__button_color","Text color of ""Apply Code"" button"
"scss/description/cart-table__item-options_color","Product options text color"
"scss/description/cart-table__item-options_font",""
"scss/description/cart-table__product-image_background-color","Image background color of each cart item"
"scss/description/cart-table__product-name_color","Product name text color"
"scss/description/cart-table__product-name_font",""
"scss/description/cart-table__product-price_color","Price color"
"scss/description/cart-table__product-price_font",""
