"scss/description_auto/nav--primary__level0-list-separator_color","Culoare fundal meniu nivel 1"
"scss/description_auto/nav--primary__level1-link_font",""
"scss/description_auto/nav--primary__level1-link_font-size","12px"
"scss/description_auto/nav--primary__level1-link_font-weight","700"
"scss/description_auto/nav--primary__level1-link_line-height","113% din mărime font Menu level 2"
"scss/description_auto/nav--primary__level1-link_text-transform","majuscule"
"scss/description_auto/nav--primary__level2_background-color","Meniu nivel 2 > Culoare fundal"
"scss/description_auto/nav--primary__level2-link_color","Meniu nivel 2 > Culoare text"
"scss/description_auto/nav--primary__level2-link_font",""
"scss/description_auto/nav--primary__level2-link_font-size","Meniu nivel 2 mărime font"
"scss/description_auto/nav--primary__level2-link_font-weight","Meniu nivel 2 grosime font"
"scss/description_auto/nav--primary__level2-link_padding",""
"scss/description_auto/nav--primary__level2-link_padding-right",""
"scss/description_auto/nav--primary__level2-link_padding-top",""
"scss/description_auto/nav--primary__level2-link_text-transform","Meniu nivel 2 transformare text"
"scss/description_auto/nav--primary__level3_background-color","Meniu nivel 3 > Culoare fundal"
"scss/description_auto/nav--primary__level3-link_color","Meniu nivel 3 > Culoare text"
"scss/description_auto/nav--primary__level3-link_font",""
"scss/description_auto/nav--primary__level3-link_font-size","Meniu nivel 3 mărime font"
"scss/description_auto/nav--primary__level3-link_font-weight","Meniu nivel 3 grosime font"
"scss/description_auto/nav--primary__level3-link_padding",""
"scss/description_auto/nav--primary__level3-link_padding-right",""
"scss/description_auto/nav--primary__level3-link_padding-top",""
"scss/description_auto/nav--primary__level3-link_text-transform","Meniu nivel 3 transformare text"
"scss/description_auto/nav--primary__level4_background-color","Meniu nivel 4 > Culoare fundal"
"scss/description_auto/nav--primary__level4-link_color","Meniu nivel 4 > Culoare text"
"scss/description_auto/nav--primary__level4-link_font",""
"scss/description_auto/nav--primary__level4-link_font-size","Meniu nivel 4 > Mărime font"
"scss/description_auto/nav--primary__level4-link_font-weight","Meniu nivel 4 > Grosime font"
"scss/description_auto/nav--primary__level4-link_padding",""
"scss/description_auto/nav--primary__level4-link_padding-right",""
"scss/description_auto/nav--primary__level4-link_padding-top",""
"scss/description_auto/nav--primary__level4-link_text-transform","Meniu nivel 3 > Transformare text"
"scss/description_auto/nav--primary__submenu_background-color","36% mai deschis din Culoare 4"
"scss/description_auto/nav--primary__submenu_color","18% mai deschis din Culoare 1"
"scss/description_auto/nav--primary__ul-level0-link_padding",""
"scss/description_auto/nav--primary_background-color","18% mai deschis din Culoare 1"
"scss/description_auto/page_background-color","Culoare 2"
"scss/description_auto/page_color","Culoare 1"
"scss/description_auto/page_size",""
"scss/description_auto/page-container_background-color","Culoare 2"
"scss/description_auto/page-footer__link--hover_color","35% transparenţa din Culoare 1"
"scss/description_auto/page-footer__marketing-box--newsletter_color","Culoare 1"
"scss/description_auto/page-footer__marketing-box--shipping_color","Culoare 1"
"scss/description_auto/page-footer__marketing-box--support_color","Culoare 1"
"scss/description_auto/page-footer_background-color","Pagină > Culoare fundal conţinut"
"scss/description_auto/page-footer_color","Pagină > Culoare text conţinut"
"scss/description_auto/page-footer_link-color","35% transparenţa din Culoare 1"
"scss/description_auto/page-header_background-color","Pagină > Culoare fundal conţinut"
"scss/description_auto/page-header_color","Pagină > Culoare text conţinut"
"scss/description_auto/page-header_link_color","35% mai închis din Culoare 2"
"scss/description_auto/page-main_background-color","Culoare 2"
"scss/description_auto/page-main_color","Culoare 1"
"scss/description_auto/page-subtitle_color","15% transparenţă din Culoare 1"
"scss/description_auto/page-subtitle_font",""
"scss/description_auto/page-subtitle_font-size","42px"
"scss/description_auto/page-title_color","Culoare 1"
"scss/description_auto/page-title_font",""
"scss/description_auto/page-title_font-size","42px"
"scss/description_auto/preloader__cicle-1_stroke","Culoare 4"
"scss/description_auto/preloader__cicle-2_stroke","Culoare 3"
"scss/description_auto/product_price_font",""
"scss/description_auto/product_price_list_font",""
"scss/description_auto/product_title_font",""
"scss/description_auto/product-category__title_color","20% mai deschis din Culoare 2"
"scss/description_auto/product-category__title_font",""
"scss/description_auto/product-category__title_font-family","Pagină titlu > Familie font"
"scss/description_auto/product-category__title_font-size","Pagină titlu > Mărime font"
"scss/description_auto/product-category__title_font-style","Pagină titlu > Stil font"
"scss/description_auto/product-category__title_font-weight","Pagină titlu > Grosime font"
"scss/description_auto/product-compare__item__product-image_background-color","Alb"
"scss/description_auto/product-view__add-to-cart__button_background-color","Butoane > Culoare fundal buton acţiune"
"scss/description_auto/product-view__add-to-cart__button_color","Butoane > Culoare fundal buton acţiune"
"scss/description_auto/product-view__add-to-cart__button_font",""
"scss/description_auto/product-view__add-to-cart__button_font-size","16px"
"scss/description_auto/product-view__add-to-cart__button_font-weight","700"
"scss/description_auto/product-view__add-to-cart__button_text-transform","majuscule"
"scss/description_auto/product-view__add-to-cart__input_display","block"
"scss/description_auto/product-view__availability__font-size","14px"
"scss/description_auto/product-view__availability__font-weight","700"
"scss/description_auto/product-view__availability__in-stock_color","Culoare 3"
"scss/description_auto/product-view__availability__out-of-stock_color","Culoare 1"
"scss/description_auto/product-view__availability_display","block"
"scss/description_auto/product-view__availability_font",""
"scss/description_auto/product-view__availability_text-transform","majuscule"
"scss/description_auto/product-view__price_color","Culoare 1"
"scss/description_auto/product-view__price_font-family","Roboto', Arial, sans-serif"
"scss/description_auto/product-view__price_font-size","40px"
"scss/description_auto/product-view__price_font-style","normal"
"scss/description_auto/product-view__price_font-weight","400"
"scss/description_auto/product-view__price_line-height","17px"
"scss/description_auto/product-view__product-collateral__list__item_color","35% transparenţă din Culoare 1"
"scss/description_auto/product-view__product-collateral__list__item-active_background-color","4% mai închis din Culoare 2"
"scss/description_auto/product-view__product-collateral__list__item-active_color","Culoare 1"
"scss/description_auto/product-view__product-image_background-color","Alb"
"scss/description_auto/product-view__product-name_color","Pagină titlu > Culoare text"
"scss/description_auto/product-view__product-name_font-family","Titlu > Familie font"
"scss/description_auto/product-view__product-name_font-size","Pagină titlu > Mărime font"
"scss/description_auto/product-view__product-name_font-style","Pagină titlu > Stil font"
"scss/description_auto/product-view__product-name_font-weight","Pagină titlu > Grosime font"
"scss/description_auto/product-view__product-name_line-height","Pagină titlu > Înălţime font"
"scss/description_auto/product-view__product-name_text-transform","Pagină titlu > Transformare text"
"scss/description_auto/product-view__product-options__required_color","35% transparenţă din Culoare 1"
"scss/description_auto/product-view__product-options__required_font",""
"scss/description_auto/product-view__product-options__required_font-size","13px"
"scss/description_auto/product-view__product-options__required_text-transform","majuscule"
"scss/description_auto/product-view__product-shop__breadcrumbs_display","block"
"scss/description_auto/product-view__sku_display","block"
"scss/description_auto/products-grid__item__characteristics_color","35% transparenţă din Culoare 1"
"scss/description_auto/products-grid__item__price_color","Culoare 1"
"scss/description_auto/products-grid__item__price_font-family","Roboto', Arial, sans-serif"
"scss/description_auto/products-grid__item__price_font-size","13px"
"scss/description_auto/products-grid__item__price_font-style","normal"
"scss/description_auto/products-grid__item__price_font-weight","400"
"scss/description_auto/products-grid__item__price_line-height","17px"
"scss/description_auto/products-grid__item__product-box_text-align",""
"scss/description_auto/products-grid__item__product-name_color","Culoare 1"
"scss/description_auto/products-grid__item__product-name_font",""
"scss/description_auto/products-grid__item__product-name_font-family","Roboto', Arial, sans-serif"
"scss/description_auto/products-grid__item__product-name_font-size","16px"
"scss/description_auto/products-grid__item__product-name_font-style","niciuna"
"scss/description_auto/products-grid__item__product-name_font-weight","900"
"scss/description_auto/products-grid__item__product-name_line-height","125% din mărime font"
"scss/description_auto/products-grid__item__product-name_text-transform","majuscule"
"scss/description_auto/products-grid__item__tax-details_display","block"
"scss/description_auto/products-grid__item-inner_background-color","4% mai închis din Culoare 2"
"scss/description_auto/products-list__item__actions_margin",""
"scss/description_auto/products-list__item__actions_margin-top","20px"
"scss/description_auto/products-list__item__price_margin",""
"scss/description_auto/products-list__item__price_margin-bottom","15px"
"scss/description_auto/products-list__item__product-box_text-align",""
"scss/description_auto/products-list__item__product-image_background-color","Alb"
"scss/description_auto/products-list__item__product-name_margin",""
"scss/description_auto/products-list__item__product-name_margin-bottom","0 pixeli"
"scss/description_auto/products-list__product-box_text-align",""
"scss/description_auto/input-text_border",""
"scss/description_auto/input-text_border-color",""
"scss/description_auto/input-text_background-color",""
"scss/help/account__block-content__list__current_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/account__block-content__list__current_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/account__block-content__list_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/add-to-links_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/add-to-links_font",""
"scss/help/add-to-links_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/add-to-links_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/badge_font","Font insigne"
"scss/help/badge_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/badge_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/badge_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/badge--new_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/badge--new_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/badge--new_display","http://www.w3.org/wiki/CSS/Properties/display"
"scss/help/badge--sale_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/badge--sale_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/badge--sale_display","http://www.w3.org/wiki/CSS/Properties/display"
"scss/help/block__block-title_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/block__block-title_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/block-layered-nav__title_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/block-layered-nav__title_font",""
"scss/help/block-layered-nav__title_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/block-layered-nav__title_font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
"scss/help/breadcrumbs__leaf_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/breadcrumbs_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/breadcrumbs_display","http://www.w3.org/wiki/CSS/Properties/display"
"scss/help/breadcrumbs_font",""
"scss/help/breadcrumbs_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/breadcrumbs_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/breadcrumbs_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/button_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/button_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/button-action_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/button-action_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart__btn-checkout_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart__btn-checkout_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart__cart-totals__table_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart__cart-totals__table_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart__cart-totals__total_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart__discount__button_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart__discount__button_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart-table__item-options_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart-table__item-options_font",""
"scss/help/cart-table__item-options_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/cart-table__product-image_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart-table__product-name_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart-table__product-name_font",""
"scss/help/cart-table__product-name_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/cart-table__product-name_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/cart-table__product-price_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart-table__product-price_font",""
"scss/help/cart-table__product-price_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/cart-table__product-price_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/cart-table__product-sku_display","http://www.w3.org/wiki/CSS/Properties/display"
"scss/help/cart-table__sku-label_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/cart-table__sku-label_font",""
"scss/help/cart-table__sku-label_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/cart-table_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/checkout-onepage__buttons_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/checkout-onepage__buttons_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/checkout-onepage__buttons_font",""
"scss/help/checkout-onepage__buttons_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/checkout-onepage__buttons_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/checkout-onepage__buttons_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/checkout-onepage__progress-title_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/checkout-onepage__progress-title_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/checkout-onepage__progress-title_font",""
"scss/help/checkout-onepage__progress-title_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/checkout-onepage__progress-title_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/checkout-onepage__progress-title_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/checkout-onepage__step-title_active_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/checkout-onepage__step-title_border-bottom-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/checkout-onepage__step-title_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/checkout-onepage__step-title_font",""
"scss/help/checkout-onepage__step-title_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/checkout-onepage__step-title_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/checkout-onepage__step-title_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/color--fifth","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/color--fourth","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/color--primary","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/color--secondary","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/color--third","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/data-table__td_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/data-table__td_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/data-table__th_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/data-table__th_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/data-table_border-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/font_base",""
"scss/help/font-family-base","http://www.w3.org/wiki/CSS/Properties/font-family"
"scss/help/font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/font-style","http://www.w3.org/wiki/CSS/Properties/font-style"
"scss/help/font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
"scss/help/google_fonts","https://developers.google.com/fonts/"
"scss/help/header_separator-line_border-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/input-text_background-color","http://www.w3.org/wiki/CSS/Properties/text-align"
"scss/help/input-text_border",""
"scss/help/input-text_border-color","http://www.w3.org/wiki/CSS/Properties/border-color"
"scss/help/letter-spacing",""
"scss/help/line-height","http://www.w3.org/wiki/CSS/Properties/line-height"
"scss/help/message--error__background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/message--notice_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/message--success_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/mini-cart__block-content_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/mini-cart__block-content_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/mini-cart__link_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/mini-cart__link--hover_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav__button_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav__button_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav__button_font",""
"scss/help/nav__button_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/nav__button_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/nav__button_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/nav--primary__level0-link_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__level0-link_font",""
"scss/help/nav--primary__level0-link_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/nav--primary__level0-link_font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
"scss/help/nav--primary__level0-link_line-height","http://www.w3.org/wiki/CSS/Properties/line-height"
"scss/help/nav--primary__level0-link_padding","http://www.w3.org/wiki/CSS/Properties/padding"
"scss/help/nav--primary__level0-link_padding-right","http://www.w3.org/wiki/CSS/Properties/padding-right"
"scss/help/nav--primary__level0-link_padding-top","http://www.w3.org/wiki/CSS/Properties/padding-top"
"scss/help/nav--primary__level0-link_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/nav--primary__level0-link--hover_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__level0-list_padding-global","http://www.w3.org/wiki/CSS/Properties/padding-top"
"scss/help/nav--primary__level0-list-separator_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__level1-link_font",""
"scss/help/nav--primary__level1-link_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/nav--primary__level1-link_font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
"scss/help/nav--primary__level1-link_line-height","http://www.w3.org/wiki/CSS/Properties/line-height"
"scss/help/nav--primary__level1-link_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/nav--primary__level2_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__level2-link_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__level2-link_font",""
"scss/help/nav--primary__level2-link_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/nav--primary__level2-link_font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
"scss/help/nav--primary__level2-link_padding","http://www.w3.org/wiki/CSS/Properties/padding"
"scss/help/nav--primary__level2-link_padding-right","http://www.w3.org/wiki/CSS/Properties/padding-right"
"scss/help/nav--primary__level2-link_padding-top","http://www.w3.org/wiki/CSS/Properties/padding-top"
"scss/help/nav--primary__level2-link_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/nav--primary__level3_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__level3-link_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__level3-link_font",""
"scss/help/nav--primary__level3-link_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/nav--primary__level3-link_font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
"scss/help/nav--primary__level3-link_padding","http://www.w3.org/wiki/CSS/Properties/padding"
"scss/help/nav--primary__level3-link_padding-right","http://www.w3.org/wiki/CSS/Properties/padding-right"
"scss/help/nav--primary__level3-link_padding-top","http://www.w3.org/wiki/CSS/Properties/padding-top"
"scss/help/nav--primary__level3-link_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/nav--primary__level4_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__level4-link_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__level4-link_font",""
"scss/help/nav--primary__level4-link_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/nav--primary__level4-link_font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
"scss/help/nav--primary__level4-link_padding","http://www.w3.org/wiki/CSS/Properties/padding"
"scss/help/nav--primary__level4-link_padding-right","http://www.w3.org/wiki/CSS/Properties/padding-right"
"scss/help/nav--primary__level4-link_padding-top","http://www.w3.org/wiki/CSS/Properties/padding-top"
"scss/help/nav--primary__level4-link_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/nav--primary__submenu_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__submenu_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/nav--primary__ul-level0-link_padding","http://www.w3.org/wiki/CSS/Properties/padding"
"scss/help/nav--primary_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page_size",""
"scss/help/page-container_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-footer__link--hover_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-footer__marketing-box--newsletter_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-footer__marketing-box--shipping_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-footer__marketing-box--support_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-footer_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-footer_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-footer_link-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-header_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-header_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-header_link_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-main_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-main_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-subtitle_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-subtitle_font",""
"scss/help/page-subtitle_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/page-title_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/page-title_font",""
"scss/help/page-title_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/preloader__cicle-1_stroke","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/preloader__cicle-2_stroke","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product_price_font",""
"scss/help/product_price_list_font",""
"scss/help/product_title_font",""
"scss/help/product-category__title_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-category__title_font",""
"scss/help/product-category__title_font-family","http://www.w3.org/wiki/CSS/Properties/font-family"
"scss/help/product-category__title_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-category__title_font-style","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-category__title_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-compare__item__product-image_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__add-to-cart__button_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__add-to-cart__button_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__add-to-cart__button_font",""
"scss/help/product-view__add-to-cart__button_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-view__add-to-cart__button_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-view__add-to-cart__button_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/product-view__add-to-cart__input_display","http://www.w3.org/wiki/CSS/Properties/display"
"scss/help/product-view__availability__font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-view__availability__font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
"scss/help/product-view__availability__in-stock_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__availability__out-of-stock_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__availability_display","http://www.w3.org/wiki/CSS/Properties/display"
"scss/help/product-view__availability_font",""
"scss/help/product-view__availability_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/product-view__price_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__price_font-family","http://www.w3.org/wiki/CSS/Properties/font-family"
"scss/help/product-view__price_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-view__price_font-style","http://www.w3.org/wiki/CSS/Properties/font-style"
"scss/help/product-view__price_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-view__price_line-height","http://www.w3.org/wiki/CSS/Properties/line-height"
"scss/help/product-view__product-collateral__list__item_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__product-collateral__list__item-active_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__product-collateral__list__item-active_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__product-image_background-color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__product-name_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__product-name_font-family","http://www.w3.org/wiki/CSS/Properties/font-family"
"scss/help/product-view__product-name_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-view__product-name_font-style","http://www.w3.org/wiki/CSS/Properties/font-style"
"scss/help/product-view__product-name_font-weight","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-view__product-name_line-height","http://www.w3.org/wiki/CSS/Properties/line-height"
"scss/help/product-view__product-name_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/product-view__product-options__required_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/product-view__product-options__required_font",""
"scss/help/product-view__product-options__required_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/product-view__product-options__required_text-transform","http://www.w3.org/wiki/CSS/Properties/text-transform"
"scss/help/product-view__product-shop__breadcrumbs_display","http://www.w3.org/wiki/CSS/Properties/display"
"scss/help/product-view__sku_display","http://www.w3.org/wiki/CSS/Properties/display"
"scss/help/products-grid__item__characteristics_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/products-grid__item__price_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/products-grid__item__price_font-family","http://www.w3.org/wiki/CSS/Properties/font-family"
"scss/help/products-grid__item__price_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/products-grid__item__price_font-style","http://www.w3.org/wiki/CSS/Properties/font-style"
"scss/help/products-grid__item__price_font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
"scss/help/products-grid__item__price_line-height","http://www.w3.org/wiki/CSS/Properties/line-height"
"scss/help/products-grid__item__product-box_text-align","http://www.w3.org/wiki/CSS/Properties/text-align"
"scss/help/products-grid__item__product-name_color","http://www.w3.org/wiki/CSS/Properties/color"
"scss/help/products-grid__item__product-name_font",""
"scss/help/products-grid__item__product-name_font-family","http://www.w3.org/wiki/CSS/Properties/font-family"
"scss/help/products-grid__item__product-name_font-size","http://www.w3.org/wiki/CSS/Properties/font-size"
"scss/help/products-grid__item__product-name_font-style","http://www.w3.org/wiki/CSS/Properties/font-style"
"scss/help/products-grid__item__product-name_font-weight","http://www.w3.org/wiki/CSS/Properties/font-weight"
