"scss/title/nav--primary__level4-link_padding-right","Dreapta şi stânga"
"scss/title/nav--primary__level4-link_padding-top","Sus şi jos"
"scss/title/nav--primary__submenu_background-color","Culoare fundal"
"scss/title/nav--primary__submenu_color","Culoare text"
"scss/title/nav--primary__ul-level0-link_padding","Spaţiere interioară articol"
"scss/title/nav--primary_background-color","Culoare fundal"
"scss/title/nav--primary_border-bottom","Border jos"
"scss/title/nav--primary_border-bottom_color","Culoare border jos"
"scss/title/nav--primary_border-left","Border stânga"
"scss/title/nav--primary_border-left_color","Culoare border stânga"
"scss/title/nav--primary_border-right","Border dreapta"
"scss/title/nav--primary_border-right_color","Culoare border dreapta"
"scss/title/nav--primary_border-top","Border sus"
"scss/title/nav--primary_border-top_color","Culoare border sus"
"scss/title/page_background-color","Culoare fundal"
"scss/title/page_color","Culoare text"
"scss/title/page_size","Dimensiune pagină"
"scss/title/page-container_background-color","Culoare fundal conţinut"
"scss/title/page-footer__link--hover_color","Culoare link la hover"
"scss/title/page-footer__marketing-box--newsletter_color","Culoare text Newsletter"
"scss/title/page-footer__marketing-box--shipping_color","Culoare text stânga"
"scss/title/page-footer__marketing-box--support_color","Culoare text mijloc"
"scss/title/page-footer_background-color","Culoare fundal"
"scss/title/page-footer_color","Culoare text"
"scss/title/page-footer_link-color","Culoare link"
"scss/title/page-header_background-color","Culoare fundal"
"scss/title/page-header_color","Culoare text"
"scss/title/page-header_link_color","Culoare text"
"scss/title/page-main_background-color","Culoare fundal"
"scss/title/page-main_color","Culoare text"
"scss/title/page-subtitle_color","Culoare subtitlu"
"scss/title/page-subtitle_font","Font subtitlu"
"scss/title/page-title_color","Culoare titlu"
"scss/title/page-title_font","Font titlu"
"scss/title/preloader__cicle-1_stroke","Culoare 1"
"scss/title/preloader__cicle-2_stroke","Culoare 2"
"scss/title/product_price_font","Font"
"scss/title/product_price_list_font","Font"
"scss/title/product_title_font","Font"
"scss/title/product-category__title_color","Culoare text"
"scss/title/product-category__title_font","Font"
"scss/title/product-compare__item__product-image_background-color","Culoare fundal imagine"
"scss/title/product-view__add-to-cart__button_background-color","Culoare fundal"
"scss/title/product-view__add-to-cart__button_color","Culoare text"
"scss/title/product-view__add-to-cart__button_font","Font"
"scss/title/product-view__add-to-cart__input_display","Afişare"
"scss/title/product-view__availability__in-stock_color","Culoare text ""În stoc"""
"scss/title/product-view__availability__out-of-stock_color","Culoare text ""Stoc epuizat"""
"scss/title/product-view__availability_display","Afişare"
"scss/title/product-view__availability_font","Font"
"scss/title/product-view__price_color","Culoare"
"scss/title/product-view__product-collateral__list__item_color","Culoare text"
"scss/title/product-view__product-collateral__list__item-active_background-color","Culoare fundal stare activă"
"scss/title/product-view__product-collateral__list__item-active_color","Culoare link activ"
"scss/title/product-view__product-image_background-color","Culoare fundal"
"scss/title/product-view__product-name_color","Culoare text"
"scss/title/product-view__product-options__required_color","Culoare text"
"scss/title/product-view__product-options__required_font","Font"
"scss/title/product-view__product-shop__breadcrumbs_display","Afişare"
"scss/title/product-view__sku_display","Afişare SKU"
"scss/title/products-grid__item__characteristics_color","Culoare"
"scss/title/products-grid__item__price_color","Culoare"
"scss/title/products-grid__item__product-box_text-align","Poziție informaţii - Mod tabel"
"scss/title/products-grid__item__product-name_color","Culoare text"
"scss/title/products-grid__item__product-name_font","Font"
"scss/title/products-grid__item__tax-details_display","Afişare taxe"
"scss/title/products-grid__item-inner_background-color","Culoare fundal"
"scss/title/products-list__item__actions_margin","Margine"
"scss/title/products-list__item__actions_margin-top","Sus"
"scss/title/products-list__item__price_margin","Margine"
"scss/title/products-list__item__price_margin-bottom","Jos"
"scss/title/products-list__item__product-box_text-align","Poziție informaţii - Mod listă"
"scss/title/products-list__item__product-image_background-color","Culoare fundal"
"scss/title/products-list__item__product-name_margin","Margine"
"scss/title/products-list__item__product-name_margin-bottom","Jos"
"scss/title/products-list__product-box_text-align","Poziție informații - Mod listă"
"scss/title/input-text_border","Border"
"scss/title/input-text_border-color","Culoare Border"
"scss/title/input-text_background-color","Culoare Fundal"
"scss/description/account__block-content__list__current_background-color","Culoare fundal link activ din meniul lateral din Contul meu"
"scss/description/account__block-content__list__current_color","Culoare text link activ din meniul lateral din Contul meu"
"scss/description/account__block-content__list_color","Culoare link din meniul lateral din Contul meu"
"scss/description/add-to-links_color","Culoare text Listă de dorinţe / Comparare"
"scss/description/add-to-links_font",""
"scss/description/badge_font",""
"scss/description/badge--new_background-color","Culoare fundal etichetă ""Nou"""
"scss/description/badge--new_color","Culoare text etichetă ""Nou"""
"scss/description/badge--new_display","Mod afişare etichetă ""Nou"""
