"Enable MSRP on list","Enable MSRP on list"
"Display Manufacturer's Suggested Retail Price on product list page","Display Manufacturer's Suggested Retail Price on product list page"
"Manufacturer's Suggested Retail Price:","Manufacturer's Suggested Retail Price:"
"Text predefined...","Text predefined..."
"Shop By","Shop By"
"Category","Category"
"you will save","Save"
